Hakusana,Sanaluokka,Pituus
aarteisto,substantiivi,9
aasi,substantiivi,4
aasialainen,"adjektiivi, substantiivi",11
aasialaisuus,substantiivi,12
aasianrunkojäärä,substantiivi,16
aasimainen,adjektiivi,10
aasimaisesti,adverbi,12
aasimaisuus,substantiivi,11
aasinpotku,substantiivi,10
aasinsilta,substantiivi,10
aatami,substantiivi,6
aataminaikainen,adjektiivi,15
aataminomena,substantiivi,12
aataminpuku,substantiivi,11
aate,substantiivi,4
aatehistoria,substantiivi,12
aatekilpailu,substantiivi,12
aateli,substantiivi,6
aatelinen,"adjektiivi, substantiivi",9
aatelis-,,8
aatelisarvo,substantiivi,11
aatelisherra,substantiivi,12
aateliskalenteri,substantiivi,16
aatelisnenä,substantiivi,11
aatelissuku,substantiivi,11
aatelissääty,substantiivi,12
aatelisto,substantiivi,9
aatelisuus,substantiivi,10
aatelisvaakuna,substantiivi,14
aateliton,"adjektiivi, substantiivi",9
aatella,verbi,7
aateloida,verbi,9
aatelointi,substantiivi,10
aateluus,substantiivi,8
aatemaailma,substantiivi,11
aaterakennelma,substantiivi,14
aatesisar,substantiivi,9
aatesuunta,substantiivi,10
aatetoveri,substantiivi,10
aateveli,substantiivi,8
aatevirtaus,substantiivi,11
aatonaatto,substantiivi,10
aatos,substantiivi,5
aatra,substantiivi,5
aatteellinen,adjektiivi,12
aatteellisesti,adverbi,14
aatteellisuus,substantiivi,13
‑aatteinen,adjektiivi,10
aatto,substantiivi,5
aattoilta,substantiivi,9
aava,"adjektiivi, substantiivi",4
aavameri,substantiivi,8
aave,substantiivi,4
aavejuna,substantiivi,8
aavekipu,substantiivi,8
aavelaiva,substantiivi,9
aavemainen,adjektiivi,10
aavemaisesti,adverbi,12
aavemaisuus,substantiivi,11
aavesärky,substantiivi,9
aavikko,substantiivi,7
aavikoitua,verbi,10
aavistaa,verbi,8
aavistamaton,adjektiivi,12
aavistella,verbi,10
aavistuksenomainen,adjektiivi,18
aavistus,substantiivi,8
aavistuslähtö,substantiivi,13
abachi,substantiivi,6
abassi,substantiivi,6
abassipuu,substantiivi,9
abbedissa,substantiivi,9
abessiivi,substantiivi,9
abhaasi,substantiivi,7
abhaasin kieli,,14
abi,substantiivi,3
abiturientti,substantiivi,12
abivuosi,substantiivi,8
ablatiivi,substantiivi,9
ableismi,substantiivi,8
abnormi,adjektiivi,7
abnormius,substantiivi,9
abo,substantiivi,3
aborigiini,substantiivi,10
aboriginaali,substantiivi,12
abortoida,verbi,9
abortointi,substantiivi,10
abortti,substantiivi,7
aborttipilleri,substantiivi,14
aborttitabletti,substantiivi,15
abrakadabra,substantiivi,11
absessi,substantiivi,7
absidi,substantiivi,6
absintti,substantiivi,8
abskissa,substantiivi,8
absolutismi,substantiivi,11
absolutisti,substantiivi,11
absoluutti,substantiivi,10
absoluuttinen,adjektiivi,13
absoluuttisesti,adverbi,15
absoluuttisuus,substantiivi,14
absorboida,verbi,10
absorbointi,substantiivi,11
absorboitua,verbi,11
absorptio,substantiivi,9
abstinenssi,substantiivi,11
abstinenssioire,substantiivi,15
abstrahoida,verbi,11
abstrahointi,substantiivi,12
abstrahoitua,verbi,12
abstrakti,"adjektiivi, substantiivi",9
abstraktinen,adjektiivi,12
abstraktio,substantiivi,10
abstraktisesti,adverbi,14
abstraktistaa,verbi,13
abstraktisti,adverbi,12
abstraktistua,verbi,13
abstraktisuus,substantiivi,13
abstraktius,substantiivi,11
absurdi,adjektiivi,7
absurdisti,adverbi,10
absurdius,substantiivi,9
acajoupähkinä,substantiivi,13
a cappella,"adverbi, substantiivi",10
action,substantiivi,6
action-elokuva,substantiivi,14
action-peli,substantiivi,11
AD,substantiivi,2
adagio,"adverbi, substantiivi",6
adaptaatio,substantiivi,10
adapteri,substantiivi,8
adaptiivinen,adjektiivi,12
adaptoida,verbi,9
adaptointi,substantiivi,10
adaptoitua,verbi,10
addikti,substantiivi,7
addiktiivinen,adjektiivi,13
addiktio,substantiivi,8
addiktoida,verbi,10
addiktoitua,verbi,11
adekvaatisti,adverbi,12
adekvaatti,adjektiivi,10
adekvaattius,substantiivi,12
adenokarsinooma,substantiivi,15
adenooma,substantiivi,8
adenovirus,substantiivi,10
adessiivi,substantiivi,9
ADHD,substantiivi,4
adheesio,substantiivi,8
adjektiivi,substantiivi,10
adjektiivinen,adjektiivi,13
adjektiivisesti,adverbi,15
adjektiivisuus,substantiivi,14
adjutantti,substantiivi,10
adjuvanttihoito,substantiivi,15
adonis,substantiivi,6
adoptio,substantiivi,7
adoptiokuraattori,substantiivi,17
adoptiolapsi,substantiivi,12
adoptioperhe,substantiivi,12
adoptoida,verbi,9
adoptointi,substantiivi,10
adrenaliini,substantiivi,11
adrenaliinikynä,substantiivi,15
adressi,substantiivi,7
adsorboida,verbi,10
adsorbointi,substantiivi,11
adsorboitua,verbi,11
adsorptio,substantiivi,9
adsukipapu,substantiivi,10
adukipapu,substantiivi,9
adventismi,substantiivi,10
adventisti,substantiivi,10
adventti,substantiivi,8
adventtiaika,substantiivi,12
adventtikalenteri,substantiivi,17
adventtikirkko,substantiivi,14
adventtikynttilä,substantiivi,16
adventtiseurakunta,substantiivi,18
adventtisunnuntai,substantiivi,17
adverbi,substantiivi,7
adverbiaali,substantiivi,11
adverbiaalinen,adjektiivi,14
adverbiaalisesti,adverbi,16
adverbiaalisuus,substantiivi,15
adverbinen,adjektiivi,10
adverbisesti,adverbi,12
adverbisuus,substantiivi,11
adversatiivinen,adjektiivi,15
adversatiivisesti,adverbi,17
adversatiivisuus,substantiivi,16
adzukipapu,substantiivi,10
aerobic,substantiivi,7
aerobikata,verbi,10
aerobikkaaja,substantiivi,12
aerobikkaus,substantiivi,11
aerobikki,substantiivi,9
aerobinen,adjektiivi,9
aerobiologia,substantiivi,12
aerobiologinen,adjektiivi,14
aerodynaaminen,adjektiivi,14
aerodynaamisesti,adverbi,16
aerodynamiikka,substantiivi,14
aerosoli,substantiivi,8
afaatikko,substantiivi,9
afaattinen,adjektiivi,10
afasia,substantiivi,6
affekti,substantiivi,7
affektihäiriö,substantiivi,13
affektiivinen,adjektiivi,13
affektiivisesti,adverbi,15
affektiivisuus,substantiivi,14
affektinen,adjektiivi,10
affektisesti,adverbi,12
affektisuus,substantiivi,11
affisio,substantiivi,7
affisioida,verbi,10
afgaani,substantiivi,7
afgaaninvinttikoira,substantiivi,19
afganistanilainen,"substantiivi, adjektiivi",17
aforismi,substantiivi,8
aforismikokoelma,substantiivi,16
aforistinen,adjektiivi,11
afrikaaneri,substantiivi,11
afrikaans,substantiivi,9
afrikandi,substantiivi,9
afrikkalainen,"adjektiivi, substantiivi",13
afrikkalaisuus,substantiivi,14
afro,substantiivi,4
afroaasialainen,adjektiivi,15
afroamerikkalainen,"adjektiivi, substantiivi",18
afrokampaus,substantiivi,11
afrokommunismi,substantiivi,14
afrosuomalainen,"substantiivi, adjektiivi",15
afrotanssi,substantiivi,10
afta,substantiivi,4
afääri,substantiivi,6
agaatti,substantiivi,7
agaave,substantiivi,6
agar,substantiivi,4
agar-agar,substantiivi,9
agenda,substantiivi,6
agentti,substantiivi,7
agenttifilmi,substantiivi,12
agenttiromaani,substantiivi,14
agentuuri,substantiivi,9
agentuuriliike,substantiivi,14
aggregaatti,substantiivi,11
aggressiivinen,adjektiivi,14
aggressiivisesti,adverbi,16
aggressiivisuus,substantiivi,15
aggressio,substantiivi,9
agility,substantiivi,7
agitaatio,substantiivi,9
agitaattori,substantiivi,11
agitatorinen,adjektiivi,12
agitoida,verbi,8
agitointi,substantiivi,9
agnostikko,substantiivi,10
agnostinen,adjektiivi,10
agnostisesti,adverbi,12
agnostisismi,substantiivi,12
agnostisuus,substantiivi,11
agorafobia,substantiivi,10
agraarinen,adjektiivi,10
agraaripolitiikka,substantiivi,17
agraaripuolue,substantiivi,13
agraarisuus,substantiivi,11
agraarivaltio,substantiivi,13
agrologi,substantiivi,8
agronomi,substantiivi,8
agronomia,substantiivi,9
ah,interjektio,2
ahaa,interjektio,4
ahaa-elämys,substantiivi,11
ahava,substantiivi,5
ahavoittaa,verbi,10
ahavoitua,verbi,9
ahdas,adjektiivi,5
ahdashenkinen,adjektiivi,13
ahdashenkisesti,adverbi,15
ahdashenkisyys,substantiivi,14
ahdaskatseinen,adjektiivi,14
ahdasmielinen,adjektiivi,13
ahdasmielisesti,adverbi,15
ahdasmielisyys,substantiivi,14
ahdasnäköinen,adjektiivi,13
ahdasnäköisesti,adverbi,15
ahdasnäköisyys,substantiivi,14
ahdasrajainen,adjektiivi,13
ahdasrajaisesti,adverbi,15
ahdasrajaisuus,substantiivi,14
ahdata,verbi,6
ahde,substantiivi,4
ahdekaunokki,substantiivi,12
ahdin,substantiivi,5
ahdinko,substantiivi,7
ahdinkotila,substantiivi,11
ahdistaa,verbi,8
ahdistaja,substantiivi,9
ahdistelija,substantiivi,11
ahdistella,verbi,10
ahdistelu,substantiivi,9
ahdistua,verbi,8
ahdistuneesti,adverbi,13
ahdistuneisuus,substantiivi,14
ahdistuneisuushäiriö,substantiivi,20
ahdistunut,adjektiivi,10
ahdistus,substantiivi,8
ahdistusneuroosi,substantiivi,16
ahdistustila,substantiivi,12
aherrus,substantiivi,7
ahertaa,verbi,7
ahertaja,substantiivi,8
ahjo,substantiivi,4
ahkera,adjektiivi,6
ahkeraan,adverbi,8
ahkeraliisa,substantiivi,11
ahkerasti,adverbi,9
ahkeroida,verbi,9
ahkerointi,substantiivi,10
ahkeruus,substantiivi,8
ahkio,substantiivi,5
ahma,substantiivi,4
ahmaista,verbi,8
ahmaisu,substantiivi,7
ahmatti,substantiivi,7
ahmia,verbi,5
ahmimishäiriö,substantiivi,13
ahminta,substantiivi,7
ahnaasti,adverbi,8
ahnas,adjektiivi,5
ahnaus,substantiivi,6
ahne,adjektiivi,4
ahneesti,adverbi,8
ahnehdinta,substantiivi,10
ahnehtia,verbi,8
ahnehtija,substantiivi,9
ahneus,substantiivi,6
aho,substantiivi,3
ahomansikka,substantiivi,11
ahoniitty,substantiivi,9
ahrain,substantiivi,6
ahtaa,verbi,5
ahtaaja,substantiivi,7
ahtaalla,adverbi,8
ahtaalle,adverbi,8
ahtaasti,adverbi,8
ahtauma,substantiivi,7
ahtaus,substantiivi,6
ahtaus,substantiivi,6
ahtausliike,substantiivi,11
ahtaustyö,substantiivi,9
ahtauttaa,verbi,9
ahtauttaa,verbi,9
ahtautua,verbi,8
ahtautuma,substantiivi,9
ahteri,substantiivi,6
ahti,substantiivi,4
Ahti,substantiivi,4
ahtisaarna,substantiivi,10
ahtoilma,substantiivi,8
ahtojää,substantiivi,7
ahtopaine,substantiivi,9
ahtoutua,verbi,8
ahven,substantiivi,5
ahvenheinä,substantiivi,10
ahvenkala,substantiivi,9
ahvenruoho,substantiivi,10
ahvenvita,substantiivi,9
ai,interjektio,2
aidanne,substantiivi,7
aidanrako,substantiivi,9
aidanseiväs,substantiivi,11
aidanvieri,substantiivi,10
aidas,substantiivi,5
aidaskääpä,substantiivi,10
aidata,verbi,6
aidoittaa,verbi,9
aidosti,adverbi,7
aids,substantiivi,4
aidspotilas,substantiivi,11
aie,substantiivi,3
aiemmin,adverbi,7
aiempi,adjektiivi,6
aiennus,substantiivi,7
aientaa,verbi,7
aiepöytäkirja,substantiivi,13
aiesopimus,substantiivi,10
aihe,substantiivi,4
aiheellinen,adjektiivi,11
aiheellisesti,adverbi,13
aiheellistaa,verbi,12
aiheellistua,verbi,12
aiheellisuus,substantiivi,12
aiheenmukainen,adjektiivi,14
aiheenvalinta,substantiivi,13
aiheeton,adjektiivi,8
aiheettomasti,adverbi,13
aiheettomuus,substantiivi,12
‑aiheinen,adjektiivi,9
aihekokonaisuus,substantiivi,15
aihelma,substantiivi,7
aihepiiri,substantiivi,9
aihetodiste,substantiivi,11
aihetunniste,substantiivi,12
aiheuttaa,verbi,9
aiheuttaja,substantiivi,10
aiheutua,verbi,8
aiheutus,substantiivi,8
aihio,substantiivi,5
aijai,interjektio,5
aika,substantiivi,4
aika,"adjektiivi, adverbi",4
aika-ajo,substantiivi,8
aikaansaada,verbi,11
aikaansaamaton,adjektiivi,14
aikaansaamattomuus,substantiivi,18
aikaansaannos,substantiivi,13
aikaansaanti,substantiivi,12
aikaansaapa,adjektiivi,11
aikaansaava,adjektiivi,11
aika-arvo,substantiivi,9
aika-avaruus,substantiivi,12
aikaavievä,adjektiivi,10
aikaero,substantiivi,7
aikaerorasitus,substantiivi,14
aikaihminen,substantiivi,11
aikaikkuna,substantiivi,10
aikailla,verbi,8
aikailu,substantiivi,7
aikainen,adjektiivi,8
aikaisemmin,adverbi,11
aikaisin,adverbi,8
aikaisintaan,adverbi,12
aikaistaa,verbi,9
aikaistua,verbi,9
aikaistus,substantiivi,9
aikaisuus,substantiivi,9
aikajakso,substantiivi,9
aikajana,substantiivi,8
aikajänne,substantiivi,9
aikajärjestys,substantiivi,13
aikakatkaisu,substantiivi,12
aikakauppa,substantiivi,10
aikakausi,substantiivi,9
aikakausjulkaisu,substantiivi,16
aikakauskirja,substantiivi,13
aikakauslehdistö,substantiivi,16
aikakauslehti,substantiivi,13
aikakirja,substantiivi,9
aikakone,substantiivi,8
aikakysymys,substantiivi,11
aikakytkin,substantiivi,10
aikakäsitys,substantiivi,11
aikalainen,substantiivi,10
aikalais‑,,9
aikalaiskuvaus,substantiivi,14
aikalaukaisin,substantiivi,13
aikalisä,substantiivi,8
aikalukko,substantiivi,9
aikaluokka,substantiivi,10
aikamatka,substantiivi,9
aikamatkailu,substantiivi,12
aikamatkustus,substantiivi,13
aikamerkki,substantiivi,10
aikamies,substantiivi,8
aikamiespoika,substantiivi,13
aikamiina,substantiivi,9
aikamitta,substantiivi,9
aikamoinen,adjektiivi,10
aikamuoto,substantiivi,9
aikamäärä,substantiivi,9
aikanaan,adverbi,8
aikansa,adverbi,7
aikapalkka,substantiivi,10
aikapalkkainen,adjektiivi,14
aikapalkkaus,substantiivi,12
aikapeli,substantiivi,8
aikapommi,substantiivi,9
aikapula,substantiivi,8
aikarahtaus,substantiivi,11
aikaraja,substantiivi,8
aikarajoitus,substantiivi,12
aikarauta,substantiivi,9
aikasakko,substantiivi,9
aikasarja,substantiivi,9
aikasytytin,substantiivi,11
aikasytytteinen,adjektiivi,15
aikasytytyksinen,adjektiivi,16
aikasytytys,substantiivi,11
aikasyöppö,substantiivi,10
aikataulu,substantiivi,9
aikatauluttaa,verbi,13
aikataulutus,substantiivi,12
aikatiedotus,substantiivi,12
aikaurakka,substantiivi,10
aikauttaa,verbi,9
aikautus,substantiivi,8
aikava,adjektiivi,6
aikavalotus,substantiivi,11
aikavaras,substantiivi,9
aikavaraus,substantiivi,10
aikaveloitus,substantiivi,12
aikavyöhyke,substantiivi,11
aikaväli,substantiivi,8
aikayksikkö,substantiivi,11
aikido,substantiivi,6
aikoa,verbi,5
aikoinaan,adverbi,9
aikojaan,adverbi,8
aikomus,substantiivi,7
aikuinen,"adjektiivi, substantiivi",8
aikuisikä,substantiivi,9
aikuiskaste,substantiivi,11
aikuiskasvatus,substantiivi,14
aikuiskoulutus,substantiivi,14
aikuiskoulutuskeskus,substantiivi,20
aikuislukio,substantiivi,11
aikuismainen,adjektiivi,12
aikuismaisesti,adverbi,14
aikuisneuvola,substantiivi,13
aikuisopettaja,substantiivi,14
aikuisopetus,substantiivi,12
aikuisopiskelija,substantiivi,16
aikuisopisto,substantiivi,12
aikuistaa,verbi,9
aikuistua,verbi,9
aikuistyyppi,substantiivi,12
aikuisuus,substantiivi,9
aikuisviihde,substantiivi,12
aikuisväestö,substantiivi,12
ailahdella,verbi,10
ailahdus,substantiivi,8
ailahtaa,verbi,8
ailahtelu,substantiivi,9
ailakki,substantiivi,7
aimo,adjektiivi,4
aina,adverbi,4
aina,substantiivi,4
ainainen,adjektiivi,8
ainaiseksi,adverbi,10
ainaisjäsen,substantiivi,11
ainaisvakuutus,substantiivi,14
ainakaan,adverbi,8
ainakin,adverbi,7
ainaoikeinneule,substantiivi,15
ainavihanta,adjektiivi,11
aine,substantiivi,4
aineellinen,adjektiivi,11
aineellistaa,verbi,12
aineellistua,verbi,12
aineellistuma,substantiivi,13
aineellisuus,substantiivi,12
aineenkirjoittaja,substantiivi,17
aineenkoetus,substantiivi,12
aineenopettaja,substantiivi,14
aineenvaihdunta,substantiivi,15
aineenvaihduntahäiriö,substantiivi,21
aineeton,adjektiivi,8
aineettomuus,substantiivi,12
ainehiukkanen,substantiivi,13
‑aineinen,adjektiivi,9
aineistaa,verbi,9
aineisto,substantiivi,8
aineistua,verbi,9
aineistuma,substantiivi,10
ainejakoinen,adjektiivi,12
ainejärjestö,substantiivi,12
ainekirjoitus,substantiivi,13
ainekoostumus,substantiivi,13
aineksenkeruu,substantiivi,13
‑aineksinen,adjektiivi,11
aineluokka,substantiivi,10
aineluokkajärjestelmä,substantiivi,21
ainemäärä,substantiivi,9
aineopinnot,substantiivi,11
aineosa,substantiivi,7
ainereaali,substantiivi,10
aines,substantiivi,5
ainesana,substantiivi,8
aineseos,substantiivi,8
aineskokoelma,substantiivi,13
ainesosa,substantiivi,8
ainespuu,substantiivi,8
aineyhdistelmä,substantiivi,14
ainiaaksi,adverbi,9
ainiaan,adverbi,7
ainiaksi,adverbi,8
ainian,adverbi,6
aino,substantiivi,4
ainoa,adjektiivi,5
ainoalaatuinen,adjektiivi,14
ainoalaatuisuus,substantiivi,15
ainoastaan,adverbi,10
ainoiskappale,substantiivi,13
ainokainen,adjektiivi,10
ainu,substantiivi,4
ainut,adjektiivi,5
ainutkertainen,adjektiivi,14
ainutkertaisuus,substantiivi,15
ainutlaatuinen,adjektiivi,14
ainutlaatuisuus,substantiivi,15
aioli,substantiivi,5
airedalenterrieri,substantiivi,17
airo,substantiivi,4
aironlapa,substantiivi,9
aironveto,substantiivi,9
airopari,substantiivi,8
airsoft,substantiivi,7
airsoft-ase,substantiivi,11
airsoftaus,substantiivi,10
airsoft-peli,substantiivi,12
airut,substantiivi,5
aisa,substantiivi,4
aisakello,substantiivi,9
aisankannattaja,substantiivi,15
aisapari,substantiivi,8
aisata,verbi,6
aisaus,substantiivi,6
aisti,substantiivi,5
aistia,verbi,6
aistienvarainen,adjektiivi,15
aistiharha,substantiivi,10
aistihavainto,substantiivi,13
aistiherkkä,adjektiivi,11
aistikas,adjektiivi,8
aistikkaasti,adverbi,12
aistikkuus,substantiivi,10
aistillinen,adjektiivi,11
aistillisesti,adverbi,13
aistillisuus,substantiivi,12
aistimaailma,substantiivi,12
aistimuisti,substantiivi,11
aistimus,substantiivi,8
aistin,substantiivi,6
aistinelin,substantiivi,10
‑aistinen,adjektiivi,9
aistinsolu,substantiivi,10
aistinvarainen,adjektiivi,14
aistinvaraisesti,adverbi,16
aistivaikutelma,substantiivi,15
aistivammainen,"adjektiivi, substantiivi",14
aistiärsyke,substantiivi,11
aita,substantiivi,4
aitajuoksija,substantiivi,12
aitajuoksu,substantiivi,10
aitapensas,substantiivi,10
aitaus,substantiivi,6
aitio,substantiivi,5
aitiopaikka,substantiivi,11
aito,adjektiivi,4
aitoa,verbi,5
aitoamaryllis,substantiivi,13
aitokana,substantiivi,8
aitoperäinen,adjektiivi,12
aitosuomalainen,"adjektiivi, substantiivi",15
aitosuomalaisuus,substantiivi,16
aitosyöpä,substantiivi,9
aitotumainen,"substantiivi, adjektiivi",12
aitotumallinen,"adjektiivi, substantiivi",14
aitous,substantiivi,6
aitoustunniste,substantiivi,14
aitovieri,substantiivi,9
aitta,substantiivi,5
aituri,substantiivi,6
aivan,adverbi,5
aivan kuin,konjunktio,10
aivastaa,verbi,8
aivastella,verbi,10
aivastus,substantiivi,8
aivastuttaa,verbi,11
aivina,substantiivi,6
aivipisto,substantiivi,9
aivo,substantiivi,4
aivoaine,substantiivi,8
aivofilmi,substantiivi,9
aivohalvaus,substantiivi,11
aivohermo,substantiivi,9
aivoinfarkti,substantiivi,12
aivoinvalidi,substantiivi,12
aivoitus,substantiivi,8
aivojenpesu,substantiivi,11
aivojumppa,substantiivi,10
aivokalvo,substantiivi,9
aivokalvontulehdus,substantiivi,18
aivokalvotulehdus,substantiivi,17
aivokammio,substantiivi,10
aivokapasiteetti,substantiivi,16
aivokasvain,substantiivi,11
aivokierto,substantiivi,10
aivokirurgi,substantiivi,11
aivokoppa,substantiivi,9
aivokuolema,substantiivi,11
aivokuollut,"substantiivi, adjektiivi",11
aivokuori,substantiivi,9
aivokurkiainen,substantiivi,14
aivokuume,substantiivi,9
aivokuva,substantiivi,8
aivokuvaus,substantiivi,10
aivokäyrä,substantiivi,9
aivoleikkaus,substantiivi,12
aivolisäke,substantiivi,10
aivonystyrä,substantiivi,11
aivopaine,substantiivi,9
aivopestä,verbi,9
aivopesu,substantiivi,8
aivopieru,substantiivi,9
aivopuolisko,substantiivi,12
aivoriihi,substantiivi,9
aivorunko,substantiivi,9
aivosairaus,substantiivi,11
aivo-selkäydinneste,substantiivi,19
aivosolu,substantiivi,8
aivosto,substantiivi,7
aivosyntyinen,adjektiivi,13
aivosähkökäyrä,substantiivi,14
aivot,substantiivi,5
aivotoiminta,substantiivi,12
aivoton,adjektiivi,7
aivotrusti,substantiivi,10
aivottomuus,substantiivi,11
aivotulehdus,substantiivi,12
aivotuonti,substantiivi,10
aivoturso,substantiivi,9
aivotutkija,substantiivi,11
aivotutkimus,substantiivi,12
aivotyö,substantiivi,7
aivotärähdys,substantiivi,12
aivovamma,substantiivi,9
aivovammainen,"adjektiivi, substantiivi",13
aivovaurio,substantiivi,10
aivoverenkierto,substantiivi,15
aivoverenvuoto,substantiivi,14
aivoveritulppa,substantiivi,14
aivovienti,substantiivi,10
aivovoimistelu,substantiivi,14
aivovuoto,substantiivi,9
ajaa,verbi,4
ajaantua,verbi,8
ajaja,substantiivi,5
ajallaan,adverbi,8
ajallinen,adjektiivi,9
ajallisesti,adverbi,11
ajallisuus,substantiivi,10
ajanhaaskaus,substantiivi,12
ajanhaaskuu,substantiivi,11
ajanhallinta,substantiivi,12
ajanhetki,substantiivi,9
ajanhukka,substantiivi,9
ajanjako,substantiivi,8
ajanjakso,substantiivi,9
ajankohta,substantiivi,9
ajankohtainen,adjektiivi,13
ajankohtaisohjelma,substantiivi,18
ajankohtaistaa,verbi,14
ajankohtaistua,verbi,14
ajankohtaisuus,substantiivi,14
ajankulu,substantiivi,8
ajankuluke,substantiivi,10
ajankuva,substantiivi,8
ajankuvaus,substantiivi,10
ajankäyttö,substantiivi,10
ajanlasku,substantiivi,9
ajan mittaan,,12
ajanmittaus,substantiivi,11
ajanmukainen,adjektiivi,12
ajanmukaisesti,adverbi,14
ajanmukaistaa,verbi,13
ajanmukaistua,verbi,13
ajanmukaisuus,substantiivi,13
ajanmääritys,substantiivi,12
ajanottaja,substantiivi,10
ajanotto,substantiivi,8
ajanpeluu,substantiivi,9
ajanpuute,substantiivi,9
ajansäästö,substantiivi,10
ajantaju,substantiivi,8
ajantasainen,adjektiivi,12
ajantasaistaa,verbi,13
ajantasaistus,substantiivi,13
ajantasaisuus,substantiivi,13
ajantasajärjestelmä,substantiivi,19
ajantasakäsittely,substantiivi,17
